impact_id,label,timestamp_us,odr_hz,fs_g,pretrigger_recorded,stage1_count,stage2_count,peak_mag_mg,peak_dev_mg,rms_dev_mg,decay_ms,band_0,band_1,band_2,band_3
55,eraser_side,507126235,1660,8,128,1024,1024,13837.8623046875,11832.5498046875,1524.989501953125,16.265060424804688,248136352.0,148130848.0,99018160.0,149950704.0
56,eraser_side,511479987,1660,8,128,1024,1024,11910.2470703125,9903.7841796875,1658.65576171875,1.2048193216323853,83671776.0,2080188032.0,215365152.0,1289054464.0
59,eraser_side,527259143,1660,8,128,1024,1024,11306.9892578125,9299.5087890625,1608.8062744140625,3.6144580841064453,2954181376.0,88360936.0,234535184.0,679514880.0
60,eraser_side,531808382,1660,8,128,1024,1024,11974.40234375,9967.1875,1860.29833984375,10.843374252319336,3981836544.0,1602177664.0,229167200.0,487297984.0
61,eraser_side,536459439,1660,8,128,1024,1024,9838.3291015625,7833.2099609375,1594.0484619140625,7.831325531005859,907966400.0,1167273600.0,307736064.0,362273408.0
64,eraser_side,553336157,1660,8,128,1024,1024,11502.880859375,9496.890625,1801.7430419921875,11.445783615112305,920012544.0,177292976.0,219898272.0,143162352.0
65,eraser_side,558761130,1660,8,128,1024,1024,13838.28515625,11829.0625,2255.74755859375,5.421687126159668,1104320768.0,2292270336.0,475900032.0,510994816.0
66,eraser_side,563212664,1660,8,128,1024,1024,12508.8369140625,10503.3857421875,1856.452392578125,3.6144580841064453,381406528.0,607826944.0,113772784.0,1260777216.0
67,eraser_side,567748561,1660,8,128,1024,1024,12848.5087890625,10844.3603515625,2085.85498046875,22.28915786743164,5449746944.0,2780440832.0,603890112.0,845338880.0
68,eraser_side,572426088,1660,8,128,1024,1024,12043.982421875,10038.7119140625,1733.243408203125,1.2048193216323853,708012224.0,354095680.0,379536288.0,21040594.0
69,eraser_side,576440233,1660,8,128,1024,1024,12642.947265625,10637.669921875,1793.12451171875,9.036145210266113,1184431616.0,1934119168.0,247348720.0,131224664.0
71,eraser_side,585270583,1660,8,128,1024,1024,11323.607421875,9318.2119140625,2051.943115234375,1.8072290420532227,2075475072.0,82327080.0,469501696.0,727292992.0
72,eraser_side,589746684,1660,8,128,1024,1024,12322.865234375,10317.4404296875,1452.2689208984375,4.216867446899414,355801376.0,268925152.0,14676873.0,573767872.0
73,eraser_side,594339103,1660,8,128,1024,1024,11864.3642578125,9859.3603515625,1712.531982421875,7.831325531005859,982951104.0,1338154112.0,274400960.0,193672384.0
74,eraser_side,598240789,1660,8,128,1024,1024,12996.4716796875,10989.443359375,2087.492919921875,3.0120482444763184,536869472.0,493064864.0,358953152.0,785918848.0
75,eraser_side,602692981,1660,8,128,1024,1024,12322.396484375,10317.279296875,1676.657958984375,3.6144580841064453,2962266880.0,337695968.0,3024192.75,190079520.0
76,eraser_side,607492336,1660,8,128,1024,1024,13481.3671875,11469.5234375,2333.978515625,3.6144580841064453,11673220096.0,1573556736.0,1103084544.0,398595584.0
78,eraser_side,615417497,1660,8,128,1024,1024,12555.8349609375,10550.6923828125,1736.7823486328125,2.4096386432647705,2002734464.0,581009536.0,636672256.0,223802384.0
79,eraser_side,619309489,1660,8,128,1024,1024,11067.212890625,9063.5546875,1568.209228515625,1.2048193216323853,1886786432.0,369092320.0,992087552.0,128330192.0
80,eraser_side,623763829,1660,8,128,1024,1024,13840.5400390625,11835.5361328125,2096.168212890625,35.542171478271484,7352704000.0,841908736.0,249135792.0,555494656.0
81,eraser_side,628251387,1660,8,128,1024,1024,10488.720703125,8483.2060546875,1421.883544921875,0.6024096608161926,176984864.0,359559744.0,7043002.5,260077680.0
85,eraser_side,645300072,1660,8,128,1024,1024,12973.2373046875,10967.5419921875,2094.3154296875,8.433734893798828,1570958080.0,157687856.0,412159424.0,288431456.0
86,eraser_side,649575998,1660,8,128,1024,1024,11916.994140625,9912.2353515625,1587.7918701171875,27.108434677124023,2000082688.0,1591137920.0,241892752.0,24812128.0
88,eraser_side,660122768,1660,8,128,1024,1024,9329.30078125,7324.1591796875,1093.6446533203125,6.024096488952637,684343680.0,617454208.0,675807936.0,70542672.0
89,eraser_side,664957516,1660,8,128,1024,1024,10379.5595703125,8374.3056640625,1259.43798828125,14.457832336425781,1361003008.0,1870384512.0,549870656.0,1078250496.0
91,eraser_side,673824971,1660,8,128,1024,1024,9479.6279296875,7476.02978515625,1047.9527587890625,1.2048193216323853,5278254592.0,323271328.0,115833856.0,383321824.0
93,eraser_side,682587157,1660,8,128,1024,1024,11153.43359375,9147.0,1352.762451171875,3.6144580841064453,1584560384.0,1787468672.0,103280080.0,132711984.0
94,eraser_side,686906649,1660,8,128,1024,1024,11221.66796875,9217.9677734375,1362.2022705078125,6.024096488952637,10378341376.0,576927552.0,16967944.0,2625280.0
95,eraser_side,690874624,1660,8,128,1024,1024,9498.3193359375,7492.97216796875,1246.8284912109375,24.698795318603516,483337312.0,1866254208.0,2274302208.0,800227776.0
96,eraser_side,694644819,1660,8,128,1024,1024,11355.3896484375,9350.3984375,1479.699462890625,7.228916168212891,7320501248.0,3388845568.0,1951578880.0,894529664.0
