impact_id,label,timestamp_us,odr_hz,fs_g,pretrigger_recorded,stage1_count,stage2_count,peak_mag_mg,peak_dev_mg,rms_dev_mg,decay_ms,band_0,band_1,band_2,band_3
1,PLA_brick,20594400,1660,8,128,1024,1024,9238.453125,7233.17529296875,1133.15380859375,0.6024096608161926,2098854016.0,536513120.0,176926544.0,928232448.0
4,PLA_brick,37473464,1660,8,128,1024,1024,11301.1533203125,9295.49609375,1323.0416259765625,5.421687126159668,1831307520.0,876342976.0,322327264.0,169876000.0
5,PLA_brick,43706963,1660,8,128,1024,1024,11083.7734375,9077.875,1177.8140869140625,2.4096386432647705,667840960.0,337167360.0,528603872.0,550255104.0
7,PLA_brick,60599515,1660,8,128,1024,1024,10572.234375,8563.4541015625,1329.5377197265625,0.6024096608161926,1969954304.0,14297294.0,2027893888.0,203418080.0
8,PLA_brick,67556408,1660,8,128,1024,1024,9681.708984375,7674.53515625,1275.9749755859375,0.6024096608161926,773177920.0,536866944.0,76275504.0,1185444096.0
9,PLA_brick,73088243,1660,8,128,1024,1024,11128.4306640625,9123.7509765625,1204.1575927734375,5.421687126159668,439709280.0,730890432.0,387160704.0,321087488.0
11,PLA_brick,86690757,1660,8,128,1024,1024,10448.1669921875,8441.521484375,1282.8321533203125,3.6144580841064453,3177533184.0,5335283.5,391022240.0,4636315648.0
12,PLA_brick,90594347,1660,8,128,1024,1024,8799.1083984375,6795.37939453125,24.94478416442871,9.638554573059082,180901.078125,135383.21875,320634.1875,195759.5625
13,PLA_brick,96561436,1660,8,128,1024,1024,2249.81494140625,246.6732177734375,22.24209213256836,3006.626708984375,96164.90625,88912.265625,518728.21875,39294.984375
14,PLA_brick,98370674,1660,8,128,1024,1024,11677.5771484375,9513.724609375,1238.2635498046875,2.4096386432647705,1590762368.0,237367968.0,455084896.0,1099676672.0
