impact_id,label,timestamp_us,odr_hz,fs_g,pretrigger_recorded,stage1_count,stage2_count,peak_mag_mg,peak_dev_mg,rms_dev_mg,decay_ms,band_0,band_1,band_2,band_3
16,flick,223512240,1660,8,128,1024,1024,9814.935546875,7808.5322265625,961.4253540039062,19.879518508911133,183282336.0,661713280.0,249711872.0,123942744.0
17,flick,229006772,1660,8,128,1024,1024,9471.234375,7465.43701171875,576.8141479492188,0.6024096608161926,347894624.0,393015424.0,70288656.0,155955536.0
18,flick,233349272,1660,8,128,1024,1024,5465.16162109375,3459.0517578125,307.35784912109375,2.4096386432647705,85015600.0,49075940.0,11841441.0,42026668.0
19,flick,238034523,1660,8,128,1024,1024,11449.1728515625,9440.275390625,1206.9095458984375,25.903615951538086,3257513728.0,24686846.0,49368880.0,234227808.0
20,flick,241524866,1660,8,128,1024,1024,7533.0537109375,5529.0283203125,530.4979248046875,7.228916168212891,1028576576.0,670410432.0,58191448.0,56765660.0
22,flick,250384348,1660,8,128,1024,1024,8384.2568359375,6379.2880859375,563.4137573242188,4.216867446899414,488444448.0,353131008.0,76317784.0,13151294.0
23,flick,254862718,1660,8,128,1024,1024,10278.580078125,8270.8046875,687.996337890625,1.8072290420532227,60421116.0,282550656.0,165079872.0,75836392.0
24,flick,259602935,1660,8,128,1024,1024,4322.9619140625,2319.0419921875,225.82032775878906,2.4096386432647705,16790392.0,199030160.0,11129979.0,9851893.0
27,flick,275566781,1660,8,128,1024,1024,5529.58740234375,3525.5302734375,293.6698913574219,1.8072290420532227,89635672.0,97561624.0,11647262.0,66270108.0
28,flick,280473522,1660,8,128,1024,1024,8108.3203125,6102.9736328125,552.6752319335938,2.4096386432647705,971164480.0,21298802.0,88269368.0,123667320.0
